term,count,level,name
GO:0004553,1880,4,"hydrolase activity, hydrolyzing O-glycosyl compounds"
GO:0008236,1871,5,serine-type peptidase activity
GO:0008757,1863,5,S-adenosylmethionine-dependent methyltransferase activity
GO:0043177,1848,3,organic acid binding
GO:0035091,1841,4,phosphatidylinositol binding
GO:0051082,1840,3,unfolded protein binding
GO:0008234,1836,5,cysteine-type peptidase activity
GO:0051015,1833,3,actin filament binding
GO:0003713,1821,3,transcription coactivator activity
GO:0008194,1812,4,UDP-glycosyltransferase activity
GO:0050839,1796,3,cell adhesion molecule binding
GO:0001664,1795,4,G protein-coupled receptor binding
GO:0005126,1787,4,cytokine receptor binding
GO:1901681,1771,2,sulfur compound binding
GO:0016810,1766,3,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
GO:0044389,1755,4,ubiquitin-like protein ligase binding
GO:0090079,1745,2,"translation regulator activity, nucleic acid binding"
GO:0005096,1745,4,GTPase activator activity
GO:0031406,1723,4,carboxylic acid binding
GO:0015399,1720,4,primary active transmembrane transporter activity
GO:0061134,1700,3,peptidase regulator activity
GO:0008237,1690,5,metallopeptidase activity
GO:0019207,1672,3,kinase regulator activity
GO:0031625,1662,5,ubiquitin protein ligase binding
GO:0030674,1656,3,protein-macromolecule adaptor activity
GO:0052689,1648,4,carboxylic ester hydrolase activity
GO:0140101,1620,3,"catalytic activity, acting on a tRNA"
GO:0042626,1612,5,ATPase-coupled transmembrane transporter activity
GO:0016765,1578,3,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0061629,1571,5,RNA polymerase II-specific DNA-binding transcription factor binding
GO:0008135,1564,3,"translation factor activity, RNA binding"
GO:0061135,1506,4,endopeptidase regulator activity
GO:0042393,1494,3,histone binding
GO:0030414,1481,4,peptidase inhibitor activity
GO:0051540,1473,2,metal cluster binding
GO:0051536,1472,3,iron-sulfur cluster binding
GO:0005516,1467,3,calmodulin binding
GO:0004252,1456,6,serine-type endopeptidase activity
GO:0005125,1453,5,cytokine activity
GO:0009055,1453,3,electron transfer activity
GO:0005342,1449,3,organic acid transmembrane transporter activity
GO:0004519,1448,5,endonuclease activity
GO:0016209,1444,1,antioxidant activity
GO:0046943,1441,4,carboxylic acid transmembrane transporter activity
GO:0005179,1436,5,hormone activity
GO:0015293,1433,5,symporter activity
GO:0004866,1433,5,endopeptidase inhibitor activity
GO:0019887,1431,4,protein kinase regulator activity
GO:0016835,1425,3,carbon-oxygen lyase activity
GO:0005085,1401,2,guanyl-nucleotide exchange factor activity
GO:0050660,1386,4,flavin adenine dinucleotide binding
GO:0015103,1330,4,inorganic anion transmembrane transporter activity
GO:0005539,1327,3,glycosaminoglycan binding
GO:0043021,1327,3,ribonucleoprotein complex binding
GO:0022832,1327,6,voltage-gated channel activity
GO:0015079,1326,6,potassium ion transmembrane transporter activity
GO:0005244,1322,4,voltage-gated ion channel activity
GO:0003714,1321,3,transcription corepressor activity
GO:0004540,1321,3,ribonuclease activity
GO:0001217,1294,3,DNA-binding transcription repressor activity
GO:0008083,1269,5,growth factor activity
GO:0016651,1266,3,"oxidoreductase activity, acting on NAD(P)H"
GO:0008238,1248,5,exopeptidase activity
GO:0019843,1247,5,rRNA binding
GO:0015081,1245,6,sodium ion transmembrane transporter activity
GO:1901981,1224,5,phosphatidylinositol phosphate binding
GO:0016407,1219,5,acetyltransferase activity
GO:0001227,1209,4,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
GO:0008094,1181,8,DNA-dependent ATPase activity
GO:0015294,1178,5,solute:cation symporter activity
GO:0003774,1177,7,motor activity
GO:0005319,1173,2,lipid transporter activity
GO:0051213,1168,3,dioxygenase activity
GO:0051287,1159,4,NAD binding
GO:0003697,1132,5,single-stranded DNA binding
GO:0019902,1128,4,phosphatase binding
GO:0017137,1125,7,Rab GTPase binding
GO:0016830,1118,3,carbon-carbon lyase activity
GO:0004984,1116,4,olfactory receptor activity
GO:0016298,1104,4,lipase activity
GO:0004197,1096,6,cysteine-type endopeptidase activity
GO:0019199,1092,4,transmembrane receptor protein kinase activity
GO:0015085,1089,6,calcium ion transmembrane transporter activity
GO:0004713,1083,4,protein tyrosine kinase activity
GO:0022834,1073,6,ligand-gated channel activity
GO:0015276,1065,5,ligand-gated ion channel activity
GO:0051427,1049,4,hormone receptor binding
GO:0015297,1042,5,antiporter activity
GO:0000149,1041,3,SNARE binding
GO:0140030,1040,3,modification-dependent protein binding
GO:0001653,1027,3,peptide receptor activity
GO:0070279,1016,3,vitamin B6 binding
GO:0003743,1014,4,translation initiation factor activity
GO:0030170,1012,4,pyridoxal phosphate binding
GO:0016836,1007,4,hydro-lyase activity
GO:0004527,1001,5,exonuclease activity
GO:0016410,999,5,N-acyltransferase activity
GO:0051539,998,4,"4 iron, 4 sulfur cluster binding"
GO:0031072,986,3,heat shock protein binding
GO:0017048,974,7,Rho GTPase binding
GO:0019783,972,6,ubiquitin-like protein-specific protease activity
GO:0016684,972,3,"oxidoreductase activity, acting on peroxide as acceptor"
GO:0008201,968,3,heparin binding
GO:0003724,965,3,RNA helicase activity
GO:0016627,961,3,"oxidoreductase activity, acting on the CH-CH group of donors"
GO:0008022,949,3,protein C-terminus binding
GO:0016811,937,4,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"
GO:0008528,936,4,G protein-coupled peptide receptor activity
GO:0019903,921,5,protein phosphatase binding
GO:0019838,918,3,growth factor binding
GO:0022843,917,5,voltage-gated cation channel activity
GO:0004601,914,2,peroxidase activity
GO:0008170,911,5,N-methyltransferase activity
GO:0016709,909,4,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"
GO:0005507,907,6,copper ion binding
GO:0004222,906,6,metalloendopeptidase activity
GO:0016903,902,3,"oxidoreductase activity, acting on the aldehyde or oxo group of donors"
GO:0004725,898,4,protein tyrosine phosphatase activity
GO:0101005,891,3,ubiquitinyl hydrolase activity
GO:0016667,891,3,"oxidoreductase activity, acting on a sulfur group of donors"
GO:0036459,884,4,thiol-dependent ubiquitinyl hydrolase activity
GO:0019208,875,3,phosphatase regulator activity
GO:0050661,870,4,NADP binding
GO:0042625,869,5,ATPase-coupled ion transmembrane transporter activity
GO:0004722,846,4,protein serine/threonine phosphatase activity
GO:0015171,846,5,amino acid transmembrane transporter activity
GO:0008081,839,5,phosphoric diester hydrolase activity
GO:0042562,834,2,hormone binding
GO:0005267,830,6,potassium channel activity
GO:0048029,827,3,monosaccharide binding
GO:0019829,821,5,ATPase-coupled cation transmembrane transporter activity
GO:0070851,818,4,growth factor receptor binding
GO:0005262,805,6,calcium channel activity
GO:0008080,799,6,N-acetyltransferase activity
GO:0005496,795,3,steroid binding
GO:0004843,791,5,thiol-dependent ubiquitin-specific protease activity
GO:0032182,787,3,ubiquitin-like protein binding
GO:0005178,786,3,integrin binding
GO:0008276,782,3,protein methyltransferase activity
GO:0030145,781,6,manganese ion binding
GO:0019888,777,4,protein phosphatase regulator activity
GO:0016247,776,2,channel regulator activity
GO:0019955,772,3,cytokine binding
GO:0004521,767,4,endoribonuclease activity
GO:0004620,766,5,phospholipase activity
GO:1902936,765,6,phosphatidylinositol bisphosphate binding
GO:0072341,761,2,modified amino acid binding
GO:0016875,758,3,"ligase activity, forming carbon-oxygen bonds"
GO:0003727,758,5,single-stranded RNA binding
GO:0004812,757,4,aminoacyl-tRNA ligase activity
GO:0004867,757,6,serine-type endopeptidase inhibitor activity
GO:0005200,755,2,structural constituent of cytoskeleton
GO:0008173,747,3,RNA methyltransferase activity
GO:0016860,742,3,intramolecular oxidoreductase activity
GO:0004364,742,4,glutathione transferase activity
GO:0016879,741,3,"ligase activity, forming carbon-nitrogen bonds"
GO:0003678,741,3,DNA helicase activity
GO:0034062,739,4,5'-3' RNA polymerase activity
GO:0097747,739,3,RNA polymerase activity
GO:0099094,737,6,ligand-gated cation channel activity
GO:0016776,735,4,"phosphotransferase activity, phosphate group as acceptor"
GO:0030594,735,3,neurotransmitter receptor activity
GO:0035257,733,5,nuclear hormone receptor binding
GO:0051087,733,3,chaperone binding
GO:0015108,727,5,chloride transmembrane transporter activity
GO:0043178,716,3,alcohol binding
GO:0002020,711,4,protease binding
GO:0140375,708,3,immune receptor activity
GO:0000049,695,5,tRNA binding
GO:0042887,695,3,amide transmembrane transporter activity
GO:0043022,695,4,ribosome binding
GO:0003730,694,6,mRNA 3'-UTR binding
GO:0016620,684,4,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
GO:0045296,682,4,cadherin binding
GO:0033293,679,5,monocarboxylic acid binding
GO:0003777,678,8,microtubule motor activity
GO:0016859,677,3,cis-trans isomerase activity
GO:0008374,676,5,O-acyltransferase activity
GO:0031490,672,3,chromatin DNA binding
GO:0016763,669,4,"transferase activity, transferring pentosyl groups"
GO:0099106,667,3,ion channel regulator activity
GO:0016796,666,6,"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"
GO:0008408,660,6,3'-5' exonuclease activity
GO:0016831,659,4,carboxy-lyase activity
GO:0044325,655,3,ion channel binding
GO:0015144,652,3,carbohydrate transmembrane transporter activity
GO:0004536,646,3,deoxyribonuclease activity
GO:0043130,645,4,ubiquitin binding
GO:0005088,638,3,Ras guanyl-nucleotide exchange factor activity
GO:0061650,637,4,ubiquitin-like protein conjugating enzyme activity
GO:0003707,636,3,steroid hormone receptor activity
GO:0005253,623,5,anion channel activity
GO:0003725,623,5,double-stranded RNA binding
GO:0042826,620,4,histone deacetylase binding
GO:0003684,617,5,damaged DNA binding
GO:0017124,617,4,SH3 domain binding
GO:0061631,598,5,ubiquitin conjugating enzyme activity
GO:0004896,597,4,cytokine receptor activity
GO:0003755,596,3,peptidyl-prolyl cis-trans isomerase activity
GO:0005230,595,6,extracellular ligand-gated ion channel activity
GO:0071949,591,5,FAD binding
GO:0016782,591,3,"transferase activity, transferring sulfur-containing groups"
GO:0003899,589,5,DNA-directed 5'-3' RNA polymerase activity
GO:0046915,589,6,transition metal ion transmembrane transporter activity
GO:0019209,585,4,kinase activator activity
GO:1901505,580,3,carbohydrate derivative transmembrane transporter activity
GO:0015370,579,6,solute:sodium symporter activity
GO:0015036,578,4,disulfide oxidoreductase activity
GO:0004714,570,5,transmembrane receptor protein tyrosine kinase activity
GO:0016769,568,3,"transferase activity, transferring nitrogenous groups"
GO:0016538,566,5,cyclin-dependent protein serine/threonine kinase regulator activity
GO:0033613,566,5,activating transcription factor binding
GO:0019205,565,5,nucleobase-containing compound kinase activity
GO:0005249,562,6,voltage-gated potassium channel activity
GO:0003823,562,2,antigen binding
GO:0030295,553,5,protein kinase activator activity
GO:0016893,553,6,"endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"
GO:0005048,547,4,signal sequence binding
GO:0019003,544,4,GDP binding
GO:0070063,543,4,RNA polymerase binding
GO:0005201,543,2,extracellular matrix structural constituent
GO:0015932,538,3,nucleobase-containing compound transmembrane transporter activity
GO:0016706,537,4,2-oxoglutarate-dependent dioxygenase activity
GO:0043621,536,3,protein self-association
GO:1904680,534,4,peptide transmembrane transporter activity
GO:0016866,531,3,intramolecular transferase activity
GO:0015662,529,6,"ion transmembrane transporter activity, phosphorylative mechanism"
GO:0047485,528,3,protein N-terminus binding
GO:0008235,526,6,metalloexopeptidase activity
GO:0019905,525,4,syntaxin binding
GO:0008483,524,4,transaminase activity
GO:0046527,523,5,glucosyltransferase activity
GO:0004177,522,6,aminopeptidase activity
GO:0004180,522,6,carboxypeptidase activity
GO:0016655,522,4,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"
GO:0004675,518,5,transmembrane receptor protein serine/threonine kinase activity
GO:0051117,517,4,ATPase binding
GO:0016922,516,6,nuclear receptor binding
GO:0015295,512,6,solute:proton symporter activity
GO:0016597,508,5,amino acid binding
GO:0051537,508,4,"2 iron, 2 sulfur cluster binding"
GO:0030276,504,3,clathrin binding
GO:0017022,503,4,myosin binding
GO:0001098,500,3,basal transcription machinery binding
GO:0009678,497,5,pyrophosphate hydrolysis-driven proton transmembrane transporter activity
GO:0016877,496,3,"ligase activity, forming carbon-sulfur bonds"
GO:0070003,495,5,threonine-type peptidase activity
GO:0004298,495,6,threonine-type endopeptidase activity
GO:0001099,494,4,basal RNA polymerase II transcription machinery binding
GO:0016790,490,4,thiolester hydrolase activity
GO:0008375,490,5,acetylglucosaminyltransferase activity
GO:0005254,488,6,chloride channel activity
GO:0005484,487,4,SNAP receptor activity
GO:0030165,485,4,PDZ domain binding
GO:0098960,482,4,postsynaptic neurotransmitter receptor activity
GO:0070491,482,5,repressing transcription factor binding
GO:0016278,481,6,lysine N-methyltransferase activity
GO:0016279,480,4,protein-lysine N-methyltransferase activity
GO:0016645,477,3,"oxidoreductase activity, acting on the CH-NH group of donors"
GO:0005546,477,7,"phosphatidylinositol-4,5-bisphosphate binding"
GO:0034212,476,7,peptide N-acetyltransferase activity
GO:1990782,475,6,protein tyrosine kinase binding
GO:0070001,473,5,aspartic-type peptidase activity
GO:0008395,472,4,steroid hydroxylase activity
GO:0005544,472,4,calcium-dependent phospholipid binding
GO:0015179,471,6,L-amino acid transmembrane transporter activity
GO:0004869,469,6,cysteine-type endopeptidase inhibitor activity
GO:0098531,468,3,ligand-activated transcription factor activity
GO:0004190,468,6,aspartic-type endopeptidase activity
GO:0008028,468,5,monocarboxylic acid transmembrane transporter activity
GO:0042054,463,4,histone methyltransferase activity
GO:0031593,462,4,polyubiquitin modification-dependent protein binding
GO:0072509,461,5,divalent inorganic cation transmembrane transporter activity
GO:0008013,461,3,beta-catenin binding
GO:0016799,460,4,"hydrolase activity, hydrolyzing N-glycosyl compounds"
GO:0001046,459,6,core promoter sequence-specific DNA binding
GO:0032934,455,4,sterol binding
GO:0019200,454,5,carbohydrate kinase activity
GO:0051219,452,3,phosphoprotein binding
GO:0090729,449,1,toxin activity
GO:0008171,448,5,O-methyltransferase activity
GO:0004532,445,4,exoribonuclease activity
GO:0016712,443,4,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
GO:0043175,442,5,RNA polymerase core enzyme binding
GO:0016896,437,5,"exoribonuclease activity, producing 5'-phosphomonoesters"
GO:0005326,437,3,neurotransmitter transmembrane transporter activity
GO:0003746,436,4,translation elongation factor activity
GO:0005549,435,2,odorant binding
GO:0004879,434,4,nuclear receptor activity
GO:0004520,433,4,endodeoxyribonuclease activity
GO:0016814,431,4,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines"
GO:0035251,430,5,UDP-glucosyltransferase activity
GO:0030374,430,4,nuclear receptor transcription coactivator activity
GO:0003954,429,4,NADH dehydrogenase activity
GO:0015926,428,5,glucosidase activity
GO:0035064,426,4,methylated histone binding
GO:0140034,426,4,methylation-dependent protein binding
GO:0016701,422,3,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"
GO:0022835,419,4,transmitter-gated channel activity
GO:0022824,411,5,transmitter-gated ion channel activity
GO:0046332,411,3,SMAD binding
GO:0035258,404,6,steroid hormone receptor binding
GO:0005548,397,3,phospholipid transporter activity
GO:0019210,396,4,kinase inhibitor activity
GO:0005518,395,3,collagen binding
GO:0031491,395,3,nucleosome binding
GO:0061733,394,8,peptide-lysine-N-acetyltransferase activity
GO:0019212,392,4,phosphatase inhibitor activity
GO:0000175,391,6,3'-5'-exoribonuclease activity
GO:0015298,391,5,solute:cation antiporter activity
GO:0004724,390,5,magnesium-dependent protein serine/threonine phosphatase activity
GO:0017069,390,5,snRNA binding
GO:0016891,389,5,"endoribonuclease activity, producing 5'-phosphomonoesters"
GO:0019213,384,3,deacetylase activity
GO:0019840,384,3,isoprenoid binding
GO:0019239,383,3,deaminase activity
GO:0001085,383,4,RNA polymerase II transcription factor binding
GO:0016702,381,4,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"
GO:0010181,380,4,FMN binding
GO:0009881,379,3,photoreceptor activity
GO:0042162,379,6,telomeric DNA binding
GO:0060590,378,4,ATPase regulator activity
GO:0070566,377,5,adenylyltransferase activity
GO:0001102,375,6,RNA polymerase II activating transcription factor binding
GO:0004860,373,5,protein kinase inhibitor activity
GO:0004402,373,9,histone acetyltransferase activity
GO:0048365,371,8,Rac GTPase binding
GO:0000993,371,5,RNA polymerase II complex binding
GO:0008138,370,4,protein tyrosine/serine/threonine phosphatase activity
GO:0004864,369,5,protein phosphatase inhibitor activity
GO:0031369,367,3,translation initiation factor binding
GO:0034061,366,3,DNA polymerase activity
GO:0016628,366,4,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor"
GO:0099529,365,5,neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential
GO:1990841,365,3,promoter-specific chromatin binding
GO:0140296,365,4,general transcription initiation factor binding
GO:0044390,364,4,ubiquitin-like protein conjugating enzyme binding
GO:0042379,363,5,chemokine receptor binding
GO:0004659,363,4,prenyltransferase activity
GO:0030515,363,5,snoRNA binding
GO:0008227,362,5,G protein-coupled amine receptor activity
GO:0001786,361,3,phosphatidylserine binding
GO:0042805,361,4,actinin binding
GO:0018024,359,5,histone-lysine N-methyltransferase activity
GO:0016409,359,5,palmitoyltransferase activity
GO:0008175,359,4,tRNA methyltransferase activity
GO:0005504,358,3,fatty acid binding
GO:0015020,357,5,glucuronosyltransferase activity
GO:0015035,356,5,protein disulfide oxidoreductase activity
GO:0030971,355,4,receptor tyrosine kinase binding
GO:0050136,355,5,NADH dehydrogenase (quinone) activity
GO:1904315,354,6,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential
GO:0044769,353,6,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism"
GO:1901682,353,3,sulfur compound transmembrane transporter activity
GO:0046961,353,6,"proton-transporting ATPase activity, rotational mechanism"
GO:0008137,351,6,NADH dehydrogenase (ubiquinone) activity
GO:0038024,350,1,cargo receptor activity
GO:0120013,348,3,lipid transfer activity
GO:0032266,346,6,phosphatidylinositol-3-phosphate binding
GO:0016854,344,3,racemase and epimerase activity
GO:0016417,342,5,S-acyltransferase activity
GO:0017046,339,3,peptide hormone binding
GO:0048306,338,3,calcium-dependent protein binding
GO:0003688,338,7,DNA replication origin binding
GO:0004712,338,4,protein serine/threonine/tyrosine kinase activity
GO:0016638,337,3,"oxidoreductase activity, acting on the CH-NH2 group of donors"
GO:0005402,336,4,carbohydrate:cation symporter activity
GO:0002039,334,3,p53 binding
GO:0010857,333,4,calcium-dependent protein kinase activity
GO:0005089,333,4,Rho guanyl-nucleotide exchange factor activity
GO:0051787,333,3,misfolded protein binding
GO:0032451,330,2,demethylase activity
GO:0050840,329,2,extracellular matrix binding
GO:0008198,329,7,ferrous iron binding
GO:0008536,328,7,Ran GTPase binding
GO:0009931,325,5,calcium-dependent protein serine/threonine kinase activity
GO:0000030,323,5,mannosyltransferase activity
GO:0015485,322,4,cholesterol binding
GO:0044183,322,1,protein folding chaperone
GO:0004312,321,5,fatty acid synthase activity
GO:0001540,321,4,amyloid-beta binding
GO:0016229,319,3,steroid dehydrogenase activity
GO:1901618,319,4,organic hydroxy compound transmembrane transporter activity
GO:0003887,317,4,DNA-directed DNA polymerase activity
GO:0042165,316,2,neurotransmitter binding
GO:0016722,314,3,"oxidoreductase activity, oxidizing metal ions"
GO:0022839,314,6,ion gated channel activity
GO:0005212,314,2,structural constituent of eye lens
GO:0005372,313,4,water transmembrane transporter activity
GO:0017056,313,2,structural constituent of nuclear pore
GO:0097472,312,4,cyclin-dependent protein kinase activity
GO:0009975,312,2,cyclase activity
GO:0005245,312,6,voltage-gated calcium channel activity
GO:0016646,311,4,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor"
GO:0140142,308,2,nucleocytoplasmic carrier activity
